zotero_key,title,year,scope_group,semantic_role,model_or_service,model_origin_class,access_mode,adaptation,closed_api_direct,commercial_open_weight_direct,nonprofit_open_weight_direct,llm_generated_training_data_origin,evidence_status,evidence_source,notes
HDUGH6TI,"SherAgent: Scaling Attack Investigation in the Wild via LLM-Empowered Iterative Query-Filter Backtracking",2026,core,"production-log query generation, filter relaxation, provenance backtracking","DeepSeek-V3.1",commercial_open_weight_only,"SOC-provided hosted model/service; exact deployment not fully disclosed",prompting_tool_agent,no,yes,no,none,verified_fulltext,"Zotero PDF HDUGH6TI/X4IQGNUM; 02-literature-notes/2026-Li-SherAgent.md","No reported task fine-tuning."
YK2VVGFH,"SHIELD: APT Detection and Intelligent Explanation Using LLM",2025,core,"provenance-graph community analysis and cross-window attack-chain summary","Qwen2.5-32B",commercial_open_weight_only,"local 8-bit deployment",prompting_graph_summary,no,yes,no,none,verified_fulltext_note,"02-literature-notes/2025-Gandhi-SHIELD.md; 02-literature-notes/2025-Gandhi-SHIELD-APT-Detection-LLM-Explanation.md","The anomaly/graph modules are trained; the Qwen LLM is not reported as fine-tuned."
RQXPEKZR,"TAA-EPLMR: Threat Actor Attribution via Evidence Path-Enhanced Large Language Model Reasoning",2025,core,"CTI-KG evidence-path retrieval, pruning, actor attribution and explanation","Qwen3-Plus; QwQ-Plus; DeepSeek-V3; DeepSeek-R1",mixed_closed_and_commercial_open_weight,"hosted proprietary Plus services and DeepSeek model services",prompting_RAG_CoT,yes,yes,no,none,verified_fulltext_note,"02-literature-notes/2025-Xiao-TAA-EPLMR.md; 07-zotero-exports/pdf_text_20260705_round4/TAA_EPLMR_2025.txt","No reported LLM fine-tuning."
NNCGTE66,"TECHNIQUERAG: Retrieval Augmented Generation for Adversarial Technique Annotation in Cyber Threat Intelligence Text",2025,core,"CTI/security text to ATT&CK technique IDs","DeepSeek-V3 reranker; Ministral-8B-Instruct generator",commercial_open_weight_only,"DeepSeek model service plus Mistral open weights",LoRA_generator_only,no,yes,no,none,verified_fulltext,"07-zotero-exports/pdf_text_20260704/TECHNIQUERAG_Retrieval_Augmented_Generation_for_Adversarial_Technique_Annotation_in_Cyber_Threat_Intelligence_Text.txt; 02-literature-notes/2025-Lekssays-TechniqueRAG.md","Only the 8B generator is LoRA-tuned; the DeepSeek reranker is frozen."
FNICQQNG,"CyberPal.AI: Empowering LLMs with Expert-Driven Cybersecurity Instructions",2025,adjacent_verified,"general cybersecurity instruction model; training precedent rather than case evidence compiler","Llama-3-Instruct-8B; Mistral-Instruct-7B-v0.3; Phi-3-Medium-4K-Instruct",commercial_open_weight_only,"commercial open weights; trained by authors",full_instruction_finetuning,no,yes,no,commercial_open_weight,verified_fulltext,"07-zotero-exports/pdf_text_20260704/CyberPal.AI_Empowering_LLMs_with_Expert-Driven_Cybersecurity_Instructions.txt","Mixtral is the default teacher for data generation/evaluation; no nonprofit base is used."
I6VJ6GJC,"IRCopilot: Automated Incident Response with Large Language Models",2025,adjacent_verified,"incident-response planning, tool execution, reflection","GPT-4; GPT-4o; GPT-o1; Claude-3.5-Sonnet; Llama-3-70B; DeepSeek-V3",mixed_closed_and_commercial_open_weight,"provider APIs and hosted model services",prompting_planning_reflection,yes,yes,no,none,verified_fulltext,"Zotero PDF I6VJ6GJC/9WK3S75Y","No reported model fine-tuning; Gemini 2.5 Pro is used for a later diagnostic evaluation."
3L77SU3V,"AutoBnB-RAG: Enhancing Multi-Agent Incident Response with Retrieval-Augmented Generation",2025,adjacent_verified,"tabletop incident-response multi-agent simulation","GPT-4o; text-embedding-3-small",closed_proprietary_only,"OpenAI APIs",prompting_RAG_multiagent,yes,no,no,none,verified_fulltext,"Zotero PDF 3L77SU3V/E7W5BSYU","No reported model fine-tuning."
5QKUVK9Q,"SOCpilot: Verifying Policy Compliance for LLM-Assisted Incident Response",2026,adjacent_verified,"incident-response plan generation followed by deterministic policy verification","GPT-5.2; Claude-Sonnet-4-6",closed_proprietary_only,"OpenAI and Anthropic APIs",prompting_plus_deterministic_verifier,yes,no,no,none,verified_fulltext,"Zotero PDF 5QKUVK9Q/UA5M6URB","No model fine-tuning; exact provider API labels are recorded."
2SVEK4EF,"Integrating Large Language Models into Security Incident Response",2025,adjacent_verified,"incident summarization and human-AI collaboration study","Gemini-1.5-Flash",closed_proprietary_only,"Google API/service",prompting_user_study,yes,no,no,none,verified_fulltext,"Zotero PDF 2SVEK4EF/GWGTRZU6","No reported model fine-tuning."
WSRPATRH,"Cognitive SOC: Evidence-Backed Narrative Generation for Security Operations with Multi-Agent LLM Architecture",2025,unresolved_candidate,"evidence-backed SOC narrative generation","unknown from available Zotero record",not_reproducibly_specified,unknown,unknown,unknown,unknown,unknown,unknown,title_abstract_only,"Zotero key WSRPATRH; no local attachment","Excluded from percentages until full text fixes the model identity and access mode."
NIJREH54,"iThelma: An Autonomous LLM Agent for Cyber Threat Hunting via Playbook-Driven Intelligence",2025,unresolved_candidate,"playbook-driven threat-hunting agent","unknown from available Zotero record",not_reproducibly_specified,unknown,unknown,unknown,unknown,unknown,unknown,title_abstract_only,"Zotero key NIJREH54; no local attachment","Excluded from percentages."
5LBGWMLA,"Construction of Cyber-Attack Attribution Framework Based on LLM",2024,unresolved_candidate,"LLM-based cyber-attack attribution framework","unknown from available Zotero record",not_reproducibly_specified,unknown,unknown,unknown,unknown,unknown,unknown,title_only,"Zotero key 5LBGWMLA; no local attachment","Excluded from percentages."
4UG4MTGN,"LLM-Based Advanced Persistent Threat Attribution: A Novel Framework for Enhanced Cyber Threat Intelligence",2026,unresolved_candidate,"multi-source APT attribution framework","TacticBERT; MalwareGPT; ThreatLlama are named conceptually; exact implemented checkpoint is not reproducibly specified",not_reproducibly_specified,unknown,conceptual_framework,unknown,unknown,unknown,unknown,fulltext_but_model_unresolved,"02-literature-notes/2026-Alshamrani-LLMAPT.md; 07-zotero-exports/pdf_text_20260705_round4/LLMAPT_2026.txt","Excluded from model-origin percentages because the implemented LLM is not pinned."
IXCQJ6T7,"APT Attack Inference and Multidimensional Visual Representation",2026,unresolved_candidate,"LLM-assisted APT inference and visual analytics","unknown",not_reproducibly_specified,unknown,unknown,unknown,unknown,unknown,unknown,title_abstract_only,"02-literature-notes/2026-Ren-APT-Attack-Inference-LLM-Visual-Analytics.md","Excluded from percentages."
GXHBZV8K,"TIBlender: Cross-Platform Multi-View Investigation Trajectories for Early Threat Intelligence",2026,unresolved_candidate,"cross-platform investigation trajectories","unknown from available Zotero record",not_reproducibly_specified,unknown,unknown,unknown,unknown,unknown,unknown,title_abstract_only,"Zotero key GXHBZV8K; no local attachment","Excluded from percentages."
Q26Z76DI,"Multi-Agent Collaboration in Incident Response with Large Language Models",2025,unresolved_candidate,"tabletop incident-response collaboration","unknown from available Zotero record",not_reproducibly_specified,unknown,unknown,unknown,unknown,unknown,unknown,abstract_only,"Zotero key Q26Z76DI; no local attachment","Adjacent and excluded from percentages."
