source_id,domain,source_type,year,title,doi_or_url,evidence_level,action_definition_and_granularity,cost_construct_and_units,assignment_or_measurement_method,additivity_context_and_uncertainty,validation_or_governance,project05_supports,does_not_support,verified_location,status
COST-01,cost-sensitive machine learning,workshop paper,2000,Types of Cost in Inductive Concept Learning,https://arxiv.org/abs/cs/0212034,verified_full_text_local_pdf,"A test or attribute measurement is an acquisition choice used before classification.","Cost may use dollars, seconds, CPU time, or utility and may be uncertain; test cost can depend on prior tests, results, class, case, and time.","Use application facts or distributions; this is a taxonomy, not a universal assignment table.","Grouped tests may share setup cost and cost less than their sum; context dependence violates fixed c(a).","Explicitly distinguishes cost types and uncertainty.","Use c(s,a) or c(s,a,s'), include setup, shared, and retry costs, and preserve physical units before scalarization.","Does not authorize equal-weight ordinal scores for unlike units.","Local PDF pp. 1-4, especially pp. 1-3",included
AFA-01,active feature acquisition,peer-reviewed conference chapter,2016,Sequential Cost-Sensitive Feature Acquisition,https://doi.org/10.1007/978-3-319-46349-0_25,verified_full_text_local_pdf,"A stochastic policy adaptively acquires feature blocks from a partially observed sample and can classify or stop.","Inference cost sums supplied feature costs; experiments use cost=1, artificial c_i=i/n, or literature-provided medical costs.","Costs are external dataset inputs; real CPU and energy budgets are future work.","Additive feature cost is explicit; shared setup cost is not modeled.","Accuracy-cost curves and held-out tests validate performance conditional on supplied costs.","AFA answers how to plan after costs are given, not how authoritative costs are built.","Artificial c_i=i/n and unit costs cannot validate Project05 real costs.","Local PDF pp. 7-10",included
AFA-02,active classification,peer-reviewed journal article,2002,Learning cost-sensitive active classifiers,https://doi.org/10.1016/S0004-3702(02)00209-6,metadata_only_crossref,"The bibliographic record indicates sequential active classification with acquisition and misclassification trade-offs; formal action semantics were not extracted.","Cost-sensitive objective; units and assignment method remain unverified without full text.","Not extracted from primary full text.","Not extracted.","DOI, title, venue, and bibliographic record verified; full-text route unavailable.","Candidate source for acquisition-versus-classification trade-offs.","Must not be cited for formulas, units, or Project05 assignment rules until full text is obtained.","Crossref DOI record; OpenAlex metadata only",pending_full_text
AFA-03,active feature acquisition,peer-reviewed journal article,2007,Cost-sensitive feature acquisition and classification,https://doi.org/10.1016/j.patcog.2006.11.008,metadata_only_crossref,"Bibliographic record and secondary references identify a POMDP-style acquisition/classification problem; formal details were not extracted from primary text.","Feature-acquisition and classification-error costs; units and elicitation remain unverified.","Not extracted from primary full text.","Not extracted.","DOI, title, venue, and year verified; checked services exposed no full text.","Candidate evidence that sequential acquisition can be modeled after costs are specified.","Cannot support exact equations, numeric costs, or universal low-cost-first claims until full text is verified.","Crossref DOI record; OpenAlex metadata only",pending_full_text
VOI-01,Bayesian experimental design,peer-reviewed review,1995,Bayesian Experimental Design: A Review,https://doi.org/10.1214/ss/1177009939,verified_full_text_scan_visual,"A design is a decision about what experiment or observation to perform for a stated purpose.","Utility represents experiment purpose and consequences; designs may be optimized under total or observation-specific costs.","Decision maker specifies purpose, probability model, utility, and cost constraint.","No universal utility or exchange rate; utility depends on purpose.","Bayesian expected-utility analysis evaluates candidate designs under the declared model.","Keep information value separate from resource cost and declare decision purpose before scalarization.","Does not define forensic costs or justify equal weighting of resources.","Local scanned PDF; visually checked design-utility sections",included
VOI-02,decision analysis,peer-reviewed journal article,1966,Information Value Theory,https://doi.org/10.1109/TSSC.1966.300074,metadata_only_crossref,"Information acquisition is evaluated as a decision that can change later choices; exact formal text was not locally verified.","Value of information is a consequence or utility construct rather than physical acquisition burden.","Probability and preference inputs are indicated by the literature lineage; exact formulation is pending full text.","Not extracted from primary full text.","DOI, title, and venue verified; IEEE endpoint returned 418.","Candidate foundation for separating expected information value from acquisition burden.","Cannot support verbatim EVPI or EVSI equations or a monetary conversion rule without full text.","Crossref DOI record; IEEE endpoint checked and unavailable",pending_full_text
CMDP-01,constrained sequential decision making,reference monograph,1999,Constrained Markov Decision Processes,https://doi.org/10.1201/9781315140223,verified_author_copy_in_memory,"Defines states X, actions A(x), transition probabilities, immediate objective cost c(x,a), and K-dimensional immediate constraint costs d(x,a).","The problem minimizes expected C(beta,u) subject to vector constraints D(beta,u)<=V; discounted, total, and average criteria are distinct.","Modeler supplies c, d, thresholds V, transition model, initial distribution, and horizon or discount assumptions.","Costs are state-action dependent; accumulation follows the criterion. Constraints are not weighted objectives unless an explicit Lagrangian is introduced.","Feasibility, occupation measures, LPs, and policy classes are defined under explicit assumptions.","Represent authorization, hard risk limits, and budgets as constraints when not exchangeable; distinguish burden from constraint dimensions.","Does not supply domain c, d, or V and does not justify arbitrary Lagrange weights.","INRIA author PDF pp. 21-24, 29, 31-32; accessed in memory",included
MOO-01,multi-objective sequential decision making,peer-reviewed survey,2013,A Survey of Multi-Objective Sequential Decision-Making,https://doi.org/10.1613/jair.3987,verified_full_text_local_pdf,"MOMDP retains vector-valued returns and policies over state-dependent actions.","Objectives remain a vector; scalarization f(V,w) and weight vector w encode preferences. Constraints are a distinct variant.","Weights and scalarization come from the decision scenario; when unknown, compute coverage or Pareto-relevant sets.","Linear weighted sum is one special case; nonlinear and unknown-weight settings require different solution concepts.","Taxonomy specifies weight knowledge, scalarization class, policy class, coverage sets, and Pareto dominance.","Keep resource dimensions separate; report Pareto or coverage results until defensible weights exist; sensitivity-test chosen weights.","Does not prescribe equal weights or make Pareto optimality select one universal policy.","Local PDF pp. 5-14, 20, 24",included
DB-01,database query optimization,peer-reviewed conference article,1979,Access Path Selection in a Relational Database Management System,https://doi.org/10.1145/582095.582099,verified_full_text_local_pdf,"A query plan is composed of access paths and joins; alternatives are compared by predicted resource use.","COST = page fetches + W*RSI calls; page fetches proxy I/O and RSI calls proxy CPU or tuple processing.","Predict counts from statistics; W is an adjustable I/O-versus-CPU weight.","Additivity and linear weighting are explicit engineering assumptions tied to System R.","Plans are compared using operational statistics and adjustable calibration.","Measure raw bytes, records, I/O, and CPU first; publish weights and calibrate against executions.","System R W and proxies are not portable constants and do not validate subjective ordinal costs.","Local PDF pp. 3, 5, 7, 12",included
DB-02,database query optimization,peer-reviewed article,2015,How Good Are Query Optimizers Really?,https://doi.org/10.14778/2850583.2850594,verified_full_text_local_pdf,"Query-plan alternatives are evaluated by a predictive operator cost model rather than semantic action count.","PostgreSQL cost is a weighted sum of accessed pages and memory-processed data or CPU proxies; plan cost sums operators.","Default parameters are designer choices; tune with observed runtime and workload experiments.","Linear additive structure is tested rather than universal; prediction error is measured against runtime.","Defines absolute percentage prediction error and reports workload-specific tuning results.","Validate Project05 predictions against execution traces and report error and calibration, not only rater agreement.","Does not imply generalization across hardware or workload, or that predicted cost equals real time.","Local PDF pp. 8-9",included
ROBOT-01,robot motion planning,peer-reviewed journal article,2011,Sampling-based Algorithms for Optimal Motion Planning,https://doi.org/10.1177/0278364911406761,verified_full_text_local_pdf,"A feasible path is a continuous bounded-variation trajectory; the optimization unit can be an entire path.","A supplied path functional may represent path length or execution time and maps paths to nonnegative values.","Problem designer defines the task-appropriate functional.","Presentation sometimes assumes additive segment cost for simplicity; the analysis states this is not always necessary.","Asymptotic optimality is proved relative to the specified functional and assumptions.","Treat time, distance or bytes, energy or compute, and risk as different functionals; declare additivity.","Does not define universal action cost or make path length interchangeable with execution time.","Local PDF pp. 3, 6-7, 15, 33",included
TEST-01,software test prioritization,peer-reviewed conference article,2001,Incorporating varying test costs and fault severities into test case prioritization,https://doi.org/10.1109/ICSE.2001.919106,metadata_plus_verified_secondary,"A test-case execution is the prioritization unit; primary formal definition was not obtained.","Varying test execution costs and fault severities are distinct APFDc inputs.","Assignment details remain pending primary full text; later systematic review confirms the two inputs.","APFDc aggregates detection position, cost, and severity under domain-specific assumptions.","DOI, title, and venue verified; secondary full text identifies APFDc as a cost-cognizant metric.","Candidate analogy for evaluating benefit found per unit measured execution cost.","Does not define forensic costs; no primary formula is quoted here.","Crossref metadata plus TEST-02 local PDF pp. 6-7, 10, 26",pending_primary_full_text
TEST-02,software test prioritization,peer-reviewed systematic review,2022,Value-based cost-cognizant test case prioritization for regression testing,https://doi.org/10.1371/journal.pone.0264972,verified_full_text_local_pdf,"Test cases are ordered execution units in regression testing.","Distinguishes test-case cost, often execution time, from fault severity or value; APFDc reports severity detection over test cost.","Included studies use experiments and case studies; execution time is a common observable proxy.","Aggregation is domain-specific and does not make all resources commensurate.","Systematic search and classification report metrics and methods used.","Cross-domain example of directly measured execution time with value kept separate.","Does not validate Project05 E/D/A/R or a universal cost scale.","Local PDF pp. 1, 3-7, 10-11",included
MEAS-02,software measurement,peer-reviewed journal article,1995,Towards a framework for software measurement validation,https://doi.org/10.1109/32.489070,metadata_only_crossref,"No action definition.","Concerns validity of software measures and intended attributes; exact framework text was not locally verified.","Pending primary full text.","Pending primary full text.","DOI, title, and venue verified; IEEE endpoint returned 418.","Candidate theoretical support for distinguishing reliability from measurement validity.","Must not be quoted for specific validity criteria until full text is obtained.","Crossref DOI record; IEEE endpoint checked and unavailable",pending_full_text
