blind_id,reviewed,granularity_label,key_missing_evidence,annotator_notes
GRN-016,yes,G3_campaign,none,可见多阶段多类行为，学生判断可形成较完整叙事。powershell.exe on SCRANTON compressed_local_files_to C:\Users\pbeesly\AppData\Roaming\Draft.Zip; powershell.exe on SCRANTON created C:\Users\pbeesly\AppData\Roaming\Draft.Zip; p...
GRN-017,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。powershell.exe on SCRANTON compressed_local_files_to C:\Users\pbeesly\AppData\Roaming\Draft.Zip; powershell.exe on SCRANTON created C:\Users\pbeesly\AppData\Roaming\Draft.Zip; p...
GRN-018,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/bin/sudo installed_kernel_module /home/admin/load_helper.ko; /usr/bin/sudo installed_kernel_module ...
GRN-019,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。/data/data/de.belu.appstarter/busybox received_data_on_socket outbound Micro APT C2 socket (remote IP scrubbed i; /data/data/de.belu.appstarter/busybox executed /system/bin/scre...
GRN-020,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。gup.exe spawned f.exe (PID 1932); f.exe (PID 1932) connected_to 53.192.68.50:8080; f.exe (PID 1932) remotely_created_thread_in lwabeat.exe (PID 1256); python.exe used_multicast ...
GRN-021,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。/sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/sbin/sshd opened /var/log/sshdlog; /usr/bin/sudo installed_kernel_module /home/admin/load_helper.ko
GRN-022,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。gup.exe created C:\Users\bbateman\AppData\Local\Temp\f.exe; gup.exe spawned f.exe (PID 1932); f.exe (PID 1932) connected_to 53.192.68.50:8080; python.exe used_multicast 225.0.0....
GRN-023,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。powershell.exe modified HKCU\Environment\windir; GoogleUpdate.exe executed SysClient0201
GRN-024,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。powershell.exe connected_to 132.197.158.98:80; powershell.exe modified HKCU\Environment\windir; powershell.exe invoked_wmi_against SysClient0402; GoogleUpdate.exe executed SysCl...
GRN-025,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。powershell.exe executed Get-Screenshot; powershell.exe invoked_wmi_against SysClient0402; GoogleUpdate.exe executed SysClient0201
GRN-026,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。Firefox (report PID 534051) received_data_from 208.203.20.42:80; /sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/sbin/sshd opened /var/log/sshdlog
GRN-027,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。Firefox (report PID 534051) received_data_from 208.203.20.42:80; /usr/sbin/sshd opened /var/log/sshdlog
GRN-028,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。gup.exe created C:\Users\bbateman\AppData\Local\Temp\f.exe; gup.exe spawned f.exe (PID 1932); python.exe used_multicast 225.0.0.1:5000
GRN-029,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/data/data/de.belu.appstarter/busybox received_data_on_socket outbound Micro APT C2 socket (remote IP scrubbed i
GRN-030,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。C:\Program Files\SysinternalsSuite\PsExe launched_remote_process_on NASHUA; powershell.exe on NASHUA executed_archive_command_for C:\Users\pbeesly\Desktop\working.zip; powershel...
GRN-031,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。f.exe (PID 1932) connected_to 53.192.68.50:8080; f.exe (PID 1932) remotely_created_thread_in lwabeat.exe (PID 1256); python.exe used_multicast 225.0.0.1:5000
GRN-032,yes,G3_campaign,none,可见多阶段多类行为，学生判断可形成较完整叙事。powershell.exe connected_to 132.197.158.98:80; powershell.exe modified HKCU\Environment\windir; powershell.exe executed Get-Screenshot; powershell.exe invoked_wmi_against SysCli...
GRN-033,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。powershell.exe modified HKCU\Environment\windir; powershell.exe invoked_wmi_against SysClient0402; GoogleUpdate.exe executed SysClient0201
GRN-034,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/bin/sudo installed_kernel_module /home/admin/read_scan.ko
GRN-035,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。f.exe (PID 1932) remotely_created_thread_in lwabeat.exe (PID 1256); python.exe used_multicast 225.0.0.1:5000
GRN-036,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。Firefox (report PID 534051) received_data_from 208.203.20.42:80; /sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/bin/sudo installed_kernel_module /...
GRN-037,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。powershell.exe connected_to 132.197.158.98:80; powershell.exe executed Get-Screenshot; powershell.exe invoked_wmi_against SysClient0402
GRN-038,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/data/data/de.belu.appstarter/busybox opened /dev/msm_g711tlaw
GRN-039,yes,G1_technique,缺少与攻击链的关联证据,可见主要是良性维护类行为。/data/local/tmp/sl ran_elevate_driver_setup /data/local/tmp/sl
GRN-040,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。powershell.exe modified HKCU\Environment\windir; powershell.exe invoked_wmi_against SysClient0402
GRN-041,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。/data/data/de.belu.appstarter/busybox received_data_on_socket outbound Micro APT C2 socket (remote IP scrubbed i; /data/data/de.belu.appstarter/busybox executed /system/bin/scre...
GRN-042,yes,G3_campaign,none,可见多阶段多类行为，学生判断可形成较完整叙事。gup.exe created C:\Users\bbateman\AppData\Local\Temp\f.exe; gup.exe spawned f.exe (PID 1932); f.exe (PID 1932) connected_to 53.192.68.50:8080; f.exe (PID 1932) remotely_created_...
GRN-043,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。gup.exe created C:\Users\bbateman\AppData\Local\Temp\f.exe; gup.exe spawned f.exe (PID 1932); f.exe (PID 1932) connected_to 53.192.68.50:8080
GRN-044,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/data/data/de.belu.appstarter/busybox executed /system/bin/screencap; /data/local/tmp/sl ran_elevate_driver_setup /data/local/tmp/sl
GRN-045,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。/data/data/de.belu.appstarter/busybox received_data_on_socket outbound Micro APT C2 socket (remote IP scrubbed i; /data/data/de.belu.appstarter/busybox opened /dev/msm_g711tlaw;...
GRN-046,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。gup.exe spawned f.exe (PID 1932); f.exe (PID 1932) remotely_created_thread_in lwabeat.exe (PID 1256)
GRN-047,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。/data/data/de.belu.appstarter/busybox received_data_on_socket outbound Micro APT C2 socket (remote IP scrubbed i; /data/data/de.belu.appstarter/busybox opened /dev/msm_g711tlaw
GRN-048,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。powershell.exe on SCRANTON set_registry_value_for HKCU\Software\Classes\Folder\shell\open\command; cmd.exe on SCRANTON executed C:\Windows\System32\sdclt.exe; powershell.exe on ...
GRN-049,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。gup.exe spawned f.exe (PID 1932); f.exe (PID 1932) remotely_created_thread_in lwabeat.exe (PID 1256); python.exe used_multicast 225.0.0.1:5000
GRN-050,yes,G3_campaign,none,多阶段多条证据且CTI节点较多，感觉能串成一套。powershell.exe on SCRANTON created C:\Users\pbeesly\AppData\Roaming\Draft.Zip; powershell.exe on SCRANTON set_registry_value_for HKCU\Software\Classes\Folder\shell\open\command;...
GRN-051,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。gup.exe created C:\Users\bbateman\AppData\Local\Temp\f.exe; f.exe (PID 1932) connected_to 53.192.68.50:8080; f.exe (PID 1932) remotely_created_thread_in lwabeat.exe (PID 1256)
GRN-052,yes,G3_campaign,none,可见多阶段多类行为，学生判断可形成较完整叙事。powershell.exe on SCRANTON set_registry_value_for HKCU\Software\Classes\Folder\shell\open\command; cmd.exe on SCRANTON executed C:\Windows\System32\sdclt.exe; powershell.exe on ...
GRN-053,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。Firefox (report PID 534051) received_data_from 208.203.20.42:80; /sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/bin/sudo installed_kernel_module /...
GRN-054,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。powershell.exe connected_to 132.197.158.98:80; powershell.exe executed Get-Screenshot
GRN-055,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/data/data/de.belu.appstarter/busybox opened /dev/msm_g711tlaw; /data/local/tmp/sl ran_elevate_driver_setup /data/local/tmp/sl
GRN-056,yes,G3_campaign,none,可见多阶段多类行为，学生判断可形成较完整叙事。powershell.exe on SCRANTON invoked_remote_command_on NASHUA; C:\Program Files\SysinternalsSuite\PsExe launched_remote_process_on NASHUA; powershell.exe on NASHUA executed_archiv...
GRN-057,yes,G3_campaign,none,可见多阶段多类行为，学生判断可形成较完整叙事。powershell.exe on SCRANTON compressed_local_files_to C:\Users\pbeesly\AppData\Roaming\Draft.Zip; cmd.exe on SCRANTON executed C:\Windows\System32\sdclt.exe; powershell.exe on SC...
GRN-058,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/data/data/de.belu.appstarter/busybox executed /system/bin/screencap
GRN-059,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/bin/sudo installed_kernel_module /home/admin/load_helper.ko
GRN-060,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。powershell.exe modified HKCU\Environment\windir; powershell.exe executed Get-Screenshot; powershell.exe invoked_wmi_against SysClient0402
